<<<<<<< 418b93f5dc2af674a69401d9392a9e39dc4a38da
question,answer_id
会話の精度はどれくらい？,1
どのくらい制度があるの？,1
会話の制度はどのくらいなの？,1
精密さはどれくらいなの？,1
会話の精度はどのくらいでしょうか？,1
会話の幅はどれくらいですか？,1
精度はどれくらいでしょうか？会話の,1
会話の精度は高いの？,1
精度の高さが気になるんだけど？,1
ちゃんと会話が成り立つの？,1
どれくらいの精度で会話できるんですか？,1
会話の精度ってどれくらいですか？,1
どれくらい会話になるんですか,1
どれくらい話を理解しているの？,1
どれくらい話が出来ますか？,1
細かい話のニュアンスも理解出来ますか？,1
会話は的確ですか？,1
会話はどのくらいできますか？,1
どのくらいの正確な会話ができますか？,1
会話はどのくらいのレベルでできるの？,1
どれくらい言葉を理解しますか？,1
質問に正確に答えられますか？,1
会話の精度を教えてください。,1
会話はどのくらいの精度ですか？,1
会話はどれくらいの精度になりますか？,1
チャットBotはどうやって埋め込むの？,2
チャットBoxの埋め込み方は？,2
どうやってチャットボックスを埋め込むの？,2
チャットBoxの埋め込み方を知りたい,2
チャットBotはどの様にして埋め込んでるの？,2
チャットBotはどうやって埋め込めてますか？,2
チャットBotはどうやって埋め込んでいるんですか？,2
チャットボットの埋め込み方は？,2
どうやってチャットボットを埋め込むの？,2
チャットボットを埋め込みたいんだけど？,2
チャットBotってどうやって埋め込まれてるんですか？,2
チャットBotの埋め込み方ってどうなってるんですか？,2
チャットBotの埋め込み方教えて,2
チャットの自動発言システムはどうやって埋め込んでいるの？,2
チャットボットはどのようにして埋め込んでいるの？,2
チャットボットはどんな方法で埋め込むの？,2
チャットBotの導入方法は？,2
チャットBotの設定方法は？,2
チャットBotの埋め込み方を教えてください。,2
チャットボットはどうやって埋め込むの？,2
チャットボットはどうやって使うの？,2
ちゃっとぼっとは使えますか？,2
チャットBotの埋め込み方を教えてください。,2
チャットBotはどのように埋め込みますか？,2
チャットBotはどうやって埋め込むか教えてください。,2
どうやって会話を覚えさせるの？,3
どうやって話をするのですか,3
どうやって会話を覚えるの？,3
会話を覚えさせる方法は？,3
どんな風に会話を覚えさせるの？,3
会話を覚えさせるには？,3
対話を覚えてもらうにはどうしてるの？,3
どうやって会話を学習させるの？,3
会話の覚えさせ方は？,3
会話を覚えさせたいんだけど,3
会話ってどう覚えるの？,3
どうやって会話させるの？,3
会話をどう覚えさせるのですか？,3
どのようにして話が出来るの？,3
どうやって話せるの？,3
どんな風に話を覚えさせるの？,3
会話の覚えさせ方はどうするの？,3
会話を記憶させる方法を教えてください。,3
どうすれば会話を覚えるの？,3
会話は登録してあるの？,3
どうやって会話してるの？,3
会話はどうやってできるようになっているの？,3
どうしたら会話を覚えさせられるんですか？,3
会話の覚えさせ方を教えてください。,3
何をしたら会話を覚えるんですか？,3
試用出来る？,4
試しに使える？,4
お試しは可能ですか,4
試しに使うことは可能ですか,4
試用出来ますか？,4
試用したいのですが,4
試用って可能ですか？,4
試しに使える？,4
お試しって出来るの？,4
試しに使ってみたいんだけど？,4
試用は出来ますか？,4
試してみたいんだけど,4
試用ってできますか？,4
これはお試し出来るの？,4
これを試してみてもいい？,4
テストは出来るの？,4
試してみることはできますか？,4
試してみたいのですが？,4
試用はすることはできますか？,4
おためしはできますか？,4
無料版はありますか？,4
体験版はありますか？,4
試すことができますか？,4
試用できるか教えてください。,4
試用することはできますか？,4
試用期間はありますか？,4
試用期間はどれくらいですか？,4
試用期間はあるのですか？,4
試用期間があれば教えてください,4
試用期間はありませんか？,4
試用期間はどのくらいですか？,4
試用期間はないでしょうか？,4
試用期間がございますか？,4
試用期間があれば教えて下さい,4
試用期間はどれくらいですか？,4
一定期間、試してみることはできますか？,4
どれぐらいの期間、試用させていただけますか？,4
試用期間はとっていただけるでしょうか？,4
試用期間は設けられていますか？,4
おためし期間はありますか？,4
試用期間はどのぐらいですか？,4
試用期間はございますか？,4
試用期間はあるのでしょうか？,4
試用期間はありますでしょうか？,4
どんなことが出来るの？,5
これは何が出来ますか,5
これはどんなサービスですか,5
何を実現するのですか,5
これはどういう事が出来るの？,5
何が出来るの？,5
どんな事が可能？,5
これって何が出来るの？,5
どういったことが出来ますか？,5
これで出来ることを教えて,5
どういうことが出来るのですか？,5
何ができる？,5
どんなことするの？,5
何が実現できるの？,5
どのようなものになるの？,5
どんなものになるのか教えてください。,5
何ができますか？,5
どういうサービスなの？,5
やれることは何ですか？,5
何ができるの？,5
何をしてくれるの？,5
どんなサービスがありますか？,5
何ができるんですか？,5
出来ることを教えてください。,5
どうなるんですか？,5
My-opeってなんですか？,6
マイオペって何？,6
My-opeとは何ですか,6
my-opeってどういうものですか,6
マイオペとは何ですか？,6
My-opeについて教えて下さい,6
マイオペって？どういうもの,6
マイオペって何なの？,6
マイオペって何か教えて,6
マイオペとは何ですか？,6
My-opeとはなんですか,6
My-opeってなんぞ,6
マイオペとはどういうものですか？,6
マイオペとは何ですか？,6
my-opeってどういうものですか？,6
マイオペがどんなものなのか知りたいです。,6
Ｍｙ-ｏｐｅっのことが知りたいです。,6
Ｍｙ-ｏｐｅって何か教えて。,6
Ｍｙ-ｏｐｅっについて教えてください。,6
まいおぺってなんですか？,6
まいおぺってなに？,6
まいおぺとはなんでしょう？,6
マイオペとは何をすることですか？,6
マイオペの意味を教えてください。,6
My-opeってなんの略ですか？,6
詳しく話を聞きたい,7
詳細を知りたい,7
詳しい内容を知りたい,7
話を詳しく聞きたい,7
詳細をお聞きしたい,7
詳しくお話し願えますか？,7
詳しく話を聞きたいのですが,7
詳しい話を聞かせて,7
これの詳細は？,7
詳細が聞きたいんだけど？,7
詳しく教えて,7
詳細を聞きたいです,7
もっと詳細をお願いします。,7
もっと細かく教えてください。,7
もう少し説明してください。,7
もう少し詳細な話を聞きたいです。,7
詳細を教えて下さい。,7
詳しく知りたいです。,7
もっと知りたくなりました。,7
内容を知りたい,7
どんなことができるか知りたい,7
内容について説明を受けたい,7
詳しい話を聞かせてください。,7
詳細を教えてください。,7
詳しい内容を聞かせてください。,7
導入を検討したいのですが、デモを見せて頂くことはできますか？,7
導入を検討していますが、デモを見せていただけますか？,7
導入検討中なのですが、デモを見せていただけませんか？,7
導入を検討したいので、デモを見せてください,7
導入を検討したいので、デモを見せてもらえますか？,7
導入したいのでデモが見たいのですが,7
導入を検討しているので、デモを見せていただくことはできますか？,7
導入を考えておりますので、デモを見せて頂きたいです,7
導入を考えています、デモを拝見させて頂くことはできますか？,7
導入を考えておりますので、デモを拝見させて頂きたいです,7
導入について考えてみたいのですが、デモを見せていただけますか？,7
導入の検討を前提に、デモを見ることはできますか？,7
導入の検討をいたしますので、デモを拝見できないでしょうか？,7
導入を検討したいのですが、デモを見せてください。,7
デモがあれば、検討用に拝見したいです。,7
導入検討用に、どのようなものか見せていただけますか？,7
導入を検討したいのですが、デモを見せて頂くことは可能でしょうか？,7
導入を検討したいのですが、デモを見せて頂くことはできますでしょうか？,7
導入を検討したいのですが、デモを見せて頂けますか？,7
サーバなどのインフラはどうなっている？,8
サーバーのインフラはどうなっているのか,8
サーバのインフラ状態は？,8
サーバーのインフラ状態を教えてください,8
サーバなどのインフラはどうなっていますか？,8
サーバなどのインフラはどの様になってますか？,8
サーバなどのインフラはどんな感じになってますか？,8
インフラは大丈夫なの？,8
サーバとかどうなってるの？,8
インフラってどうなってるの？,8
サーバとかのインフラってどうなってるんですか？,8
インフラはどうなってるんですか、サーバとか,8
サーバ等のインフラはどのようになっているのでしょうか,8
サーバのインフラはどうなっていますか？,8
サーバのインフラはどうなっているのか教えてください,8
サーバのインフラがどうなっているのか説明してください。,8
サーバー等のインフラ対策はどうなってますか？,8
サーバー等のインフラについて教えてください。,8
サーバーなどのインフラは大丈夫ですか？,8
インフラはどうなっている？,8
インフラの整備はどのようにされていますか？,8
インフラ整備は十分ですか？,8
サーバーなどのインフラについて教えてください。,8
サーバーなどのインフラはどのようになっていますか？,8
サーバーなどのインフラはどうなっているか教えてください。,8
こんにちは,9
こんにちは～,9
コンニチワ,9
どうもこんにちは,9
今日は,9
コンニチハ,9
こんにちわ,9
こんにちわ,9
ごきげんよう,9
お元気ですか,9
こんにちわ,9
コンニチハ,9
今日は,9
こんにちわ,9
今日は,9
コンニチハ,9
コンニチハ,9
今日は,9
こんにちわー,9
セキュリティ対策はどうなってる？,10
セキュリティは万全なの？,10
安全なの？,10
セキュリティ対策はされてるの？,10
安全対策はどのようになっていますか？,10
セキュリティ対策はどのようにしていますか？,10
セキュリティ対策はどうなっていますか？,10
セキュリティは万全？,10
セキュリティの対策はしてるの？,10
セキュリティはバッチリ？,10
セキュリティはどうですか,10
セキュリティ対策は万全？,10
セキュリティは大丈夫ですか？,10
セキュリティ対策は万全ですか？,10
安全対策はしていますか？,10
安全面の対策は何をしていますか？,10
セキュリティ対策は万全ですか？,10
情報管理の安全性は？,10
安心して利用できますか？,10
セキュリティについて教えてください,10
