id,level,question_answer_id,bot_id,question,original_question
1,1,2671,8,Ptnaとはなんですか？,Ptnaとはなんですか？
2,1,4061,2,はい,はい
3,2,4063,2,いいえ,いいえ
4,1,4037,2,カードキー紛失したよ,カードキー紛失したよ
5,2,2705,8,申し込んだ先生より近くの先生がいたらそちらを紹介してくれますか？,申し込んだ先生より近くの先生がいたらそちらを紹介してくれますか？
6,1,2684,8,こんにちは,こんにちは
7,1,4318,1,esaの議事録追加したい,esaの議事録追加したい
8,1,2684,8,こんにちは,こんにちは
9,1,2684,8,こんにちは,こんにちは
10,1,4293,1,ラーメン好き？,ラーメン好き？
11,2,2686,8,スッテっプとは,スッテっプとは
12,1,4209,1,こんにちは,こんにちは
13,1,4044,2,全く検討もつかない,全く検討もつかない
14,2,2694,8,男の先生,男の先生
15,2,4310,8,生徒の声ありとかかれているのに、見れない。ややこしい。,生徒の声ありとかかれているのに、見れない。ややこしい。
16,1,2706,8,体験はできますか？,体験はできますか？
17,2,2699,8,見学はできますか？,見学はできますか？
18,2,4310,8,問い合わせはホームページからのみですか？,問い合わせはホームページからのみですか？
19,1,2709,8,直接、先生と連絡を取ることはできませんか？,直接、先生と連絡を取ることはできませんか？
20,2,2697,8,先生は全員音大卒ですか？,先生は全員音大卒ですか？
21,1,2678,8,先生はどこの学校を卒業していますか？,先生はどこの学校を卒業していますか？
22,2,2683,8,面談後の返事はいつまでにすれば良いですか？,面談後の返事はいつまでにすれば良いですか？
23,2,2683,8,キャンセルなどの返事は面談後何日以内にすればよろしいでしょうか,キャンセルなどの返事は面談後何日以内にすればよろしいでしょうか
24,2,2675,8,駐車場,駐車場
25,1,2745,8,大人も習えますか,大人も習えますか
26,1,2678,8,先生の出身校はわかりますか,先生の出身校はわかりますか
27,1,4049,2,全角になっていた,全角になっていた
28,1,4044,2,全く検討もつかない,全く検討もつかない
29,2,2675,8,どうやったら教室を紹介してもらえますか？,どうやったら教室を紹介してもらえますか？
30,1,4051,2,点灯している,点灯している
31,1,2745,8,大人のピアノ,大人のピアノ
