id,question,answer,question_answer_id,bot_id
3176199,捺印申請の方法が知りたい,WEB申請した後の処理（押印されるまで）が知りたいのですか？それともはじめから教えてほしいのですか？,10879,11
3176200,捺印してもらう印鑑の種類を知りたい,角印、丸印、実印についてですか？,10880,11
3176201,収入印紙について教えてほしい,収入印紙の申請についてですか？それとも金額についてですか？,10881,11
3176202,契約書が見たい,保管されている契約書ですか？,10882,11
3176203,出張申請の方法は？,人事部にお問合せください。,10883,11
3176204,Hi-per BTにログインできない,Hi-per BTにログインできないのですね。ログインは今回が初めてですか？それとも急にログインできなくなりましたか？,10884,11
3176205,Hi-per BTに登録したい,Hi-per BTに登録したいのですね。総務部で登録しますので、総務部の方に連絡してください。,10885,11
3176206,Hi-per BTの承認権限を変更したい,Hi-per BTの承認権限を変更したいんですね。総務部で設定しますので、総務部の方に連絡してください。,10886,11
3176207,小口申請の方法は？,財務経理部にお問合せくださいm(__)m,10887,11
3176208,Suicaを登録したい。,財務経理部にお問合せくださいm(__)m,10888,11
3176209,パスモを登録したい。,財務経理部にお問合せくださいm(__)m,10889,11
3176210,ICOCAを登録したい。,財務経理部にお問合せくださいm(__)m,10890,11
3176211,プリンターーが動かない,プリンターの番号と置いてある場所はわかりますか？,10891,11
3176212,プリンターーが故障した,プリンターの番号と置いてある場所はわかりますか？,10892,11
3176213,プリンターーが欲しい,なんでほしいのですか？,10893,11
3176214,プリンターーを換えたい,なんで換えたいのですか？,10894,11
3176215,複合機が動かない,複合機が動かない。それでは、複合機の番号（○号機）を総務部に連絡してください。,10895,11
3176216,複合機が故障した,複合機が故障したんですね。それでは、複合機の番号（○号機）を総務部に連絡してください。,10896,11
3176217,カラーコピーがしたい,カラーコピーがしたいのですね。本社では、原則カラーコピーができない設定になっています。業務上必要でしたら、総務部の田中さん（内線801401）に確認してみてください。,10897,11
3176218,カラーコピーができない,カラーコピーができなのですね。本社では、原則カラーコピーができない設定になっています。業務上必要でしたら、総務部の田中さん（内線801401）に確認してみてください。,10898,11
3176219,コピー機のホチキスの針が無くなった,コピー機のホチキスの針が無くなったのですね。予備の針がS棟社内便用の棚に置いてありますので、ご利用ください。分からない場合は、総務部まで問い合わせてください。,10899,11
3176220,コピー機のホチキスの針を補充したい,コピー機のホチキスの針が無くなったのですね。予備の針がS棟社内便用の棚に置いてありますので、ご利用ください。分からない場合は、総務部まで問い合わせてください。,10900,11
3176221,イントラが見られない,ほんとに見ることができないんですか？,10901,11
3176222,座席変更した,座席を変更されたんですね。　座席表の更新をしますので、総務部に新しい座席情報を連絡してください。,10902,11
